Instance                      NSGA-II                  SL        GA                       SL        
conus_urban_4_20requests      0.5758333333333334       5         0.5409999999999999       5         Good                          
conus_urban_4_30requests      0.6493333333333333       4         0.521                    3         Good                          
nsf_centers_0_10requests      0.28933333333333333      3         0.242                    5         Good                          
nsf_centers_0_20requests      0.2445                   3         0.20800000000000002      5         Good                          
nsf_centers_0_30requests      0.31                     4         0.29933333333333334      5         Good                          
nsf_centers_1_10requests      0.23                     2         0.168                    3         Good                          
nsf_centers_1_20requests      0.21566666666666662      2         0.20249999999999999      5         Good                          
nsf_centers_1_30requests      0.30133333333333334      3         0.2906666666666667       5         Good                          
nsf_centers_2_10requests      0.21766666666666667      3         0.09299999999999999      3         Good                          
nsf_centers_2_20requests      0.22616666666666665      3         0.265                    5         Bad                           
nsf_centers_2_30requests      0.27277777777777773      5         0.268                    5         Good                          
nsf_centers_3_10requests      0.19666666666666663      2         0.138                    3         Good                          
nsf_centers_3_20requests      0.2395                   3         0.15699999999999997      4         Good                          
nsf_centers_3_30requests      0.27255555555555555      4         0.2553333333333333       6         Good                          
nsf_centers_4_10requests      0.22566666666666665      3         0.178                    3         Good                          
nsf_centers_4_20requests      0.2978333333333334       5         0.2535                   5         Good                          
nsf_centers_4_30requests      0.263                    5         0.23600000000000002      5         Good                          
nsf_rural_0_10requests        0.26866666666666666      3         0.23900000000000005      4         Good                          
nsf_rural_0_20requests        0.23000000000000004      5         0.2425                   5         Bad                           
nsf_rural_0_30requests        0.2854444444444444       7         0.30533333333333335      6         Bad                           
nsf_rural_1_10requests        0.3476666666666667       3         0.19299999999999998      5         Good                          
nsf_rural_1_20requests        0.3465                   4         0.3265                   6         Good                          
nsf_rural_1_30requests        0.3488888888888889       6         0.30133333333333334      5         Good                          
nsf_rural_2_10requests        0.31666666666666665      4         0.201                    4         Good                          
nsf_rural_2_20requests        0.2643333333333333       3         0.2895                   6         Bad                           
nsf_rural_2_30requests        0.41988888888888887      7         0.4323333333333333       7         Bad                           
nsf_rural_3_10requests        0.368                    5         0.23299999999999998      5         Good                          
nsf_rural_3_20requests        0.38083333333333336      5         0.3275                   6         Good                          
nsf_rural_3_30requests        0.38966666666666666      4         0.361                    5         Good                          
nsf_rural_4_10requests        0.322                    3         0.21799999999999997      4         Good                          
nsf_rural_4_20requests        0.3605                   6         0.385                    6         Bad                           
nsf_rural_4_30requests        0.33444444444444443      4         0.3036666666666667       6         Good                          
nsf_uniform_0_10requests      0.31600000000000006      2         0.24600000000000005      3         Good                          
nsf_uniform_0_20requests      0.3208333333333333       7         0.308                    6         Good                          
nsf_uniform_0_30requests      0.34455555555555556      10        0.3486666666666667       5         Bad                           
nsf_uniform_1_10requests      0.33333333333333337      3         0.23099999999999998      5         Good                          
nsf_uniform_1_20requests      0.3176666666666667       6         0.2825                   6         Good                          
nsf_uniform_1_30requests      0.4365555555555556       12        0.37333333333333335      5         Good                          
nsf_uniform_2_10requests      0.32199999999999995      3         0.249                    5         Good                          
nsf_uniform_2_20requests      0.3293333333333333       6         0.3205                   6         Good                          
nsf_uniform_2_30requests      0.306                    7         0.308                    5         Bad                           
nsf_uniform_3_10requests      0.32800000000000007      3         0.256                    4         Good                          
nsf_uniform_3_20requests      0.2901666666666667       3         0.2995                   5         Bad                           
nsf_uniform_3_30requests      0.3545555555555555       8         0.3516666666666667       5         Good                          
nsf_uniform_4_10requests      0.29933333333333334      4         0.10000000000000002      3         Good                          
nsf_uniform_4_20requests      0.32866666666666666      6         0.31699999999999995      5         Good                          
nsf_uniform_4_30requests      0.3743333333333333       10        0.32566666666666666      5         Good                          
nsf_urban_0_10requests        0.30366666666666664      3         0.23300000000000004      4         Good                          
nsf_urban_0_20requests        0.39816666666666667      8         0.378                    6         Good                          
nsf_urban_0_30requests        0.3208888888888889       7         0.2829999999999999       5         Good                          
nsf_urban_1_10requests        0.3433333333333333       4         0.15800000000000003      3         Good                          
nsf_urban_1_20requests        0.3088333333333333       4         0.263                    6         Good                          
nsf_urban_1_30requests        0.3026666666666667       5         0.32999999999999996      5         Bad                           
nsf_urban_2_10requests        0.33                     4         0.252                    5         Good                          
nsf_urban_2_20requests        0.326                    5         0.34349999999999997      7         Bad                           
nsf_urban_2_30requests        0.33655555555555555      8         0.34933333333333333      5         Bad                           
nsf_urban_3_10requests        0.33166666666666667      5         0.266                    5         Good                          
nsf_urban_3_20requests        0.29316666666666663      6         0.174                    4         Good                          
nsf_urban_3_30requests        0.4536666666666667       9         0.386                    5         Good                          
nsf_urban_4_10requests        0.3136666666666667       3         0.278                    4         Good                          
nsf_urban_4_20requests        0.3543333333333333       5         0.29200000000000004      6         Good                          
nsf_urban_4_30requests        0.35511111111111104      7         0.3393333333333333       5         Good                          
