Instance                      NSGA-II                  SL        GA                       SL        
conus_urban_2_30requests      0.6082222222222223       8         0.423                    6         Good                          
conus_urban_3_10requests      0.589                    3         0.268                    3         Good                          
conus_urban_3_20requests      0.5456666666666666       5         0.381                    6         Good                          
conus_urban_3_30requests      0.6007777777777777       6         0.396                    4         Good                          
conus_urban_4_10requests      0.5506666666666666       3         0.496                    6         Good                          
conus_urban_4_20requests      0.699                    14        0.37649999999999995      4         Good                          
conus_urban_4_30requests      0.6651111111111112       7         0.4486666666666667       6         Good                          
nsf_centers_0_10requests      0.31933333333333336      3         0.242                    5         Good                          
nsf_centers_0_20requests      0.251                    3         0.22599999999999998      6         Good                          
nsf_centers_0_30requests      0.344                    5         0.323                    5         Good                          
nsf_centers_1_10requests      0.263                    3         0.168                    3         Good                          
nsf_centers_1_20requests      0.2771666666666667       4         0.19849999999999998      5         Good                          
nsf_centers_1_30requests      0.31244444444444447      3         0.288                    5         Good                          
nsf_centers_2_10requests      0.30866666666666664      4         0.141                    3         Good                          
nsf_centers_2_20requests      0.2843333333333333       5         0.2665                   5         Good                          
nsf_centers_2_30requests      0.2826666666666666       5         0.28300000000000003      6         Bad                           
nsf_centers_3_10requests      0.20499999999999996      2         0.13                     3         Good                          
nsf_centers_3_20requests      0.25283333333333335      3         0.15699999999999997      4         Good                          
nsf_centers_3_30requests      0.2846666666666667       4         0.266                    6         Good                          
nsf_centers_4_10requests      0.22033333333333335      3         0.181                    3         Good                          
nsf_centers_4_20requests      0.32250000000000006      4         0.268                    5         Good                          
nsf_centers_4_30requests      0.27055555555555555      6         0.2633333333333333       5         Good                          
nsf_rural_0_10requests        0.3976666666666666       6         0.245                    5         Good                          
nsf_rural_0_20requests        0.313                    7         0.2425                   5         Good                          
nsf_rural_0_30requests        0.26855555555555555      4         0.3146666666666667       5         Bad                           
nsf_rural_1_10requests        0.4386666666666667       5         0.261                    5         Good                          
nsf_rural_1_20requests        0.4811666666666667       7         0.33699999999999997      6         Good                          
nsf_rural_1_30requests        0.4308888888888888       7         0.3406666666666667       5         Good                          
nsf_rural_2_10requests        0.3826666666666667       4         0.22800000000000004      5         Good                          
nsf_rural_2_20requests        0.3346666666666666       5         0.3005                   5         Good                          
nsf_rural_2_30requests        0.4412222222222222       9         0.4276666666666666       6         Good                          
nsf_rural_3_10requests        0.36433333333333334      5         0.219                    4         Good                          
nsf_rural_3_20requests        0.46133333333333326      6         0.388                    6         Good                          
nsf_rural_3_30requests        0.45433333333333326      9         0.37366666666666665      6         Good                          
nsf_rural_4_10requests        0.31466666666666665      3         0.193                    4         Good                          
nsf_rural_4_20requests        0.4448333333333334       6         0.382                    6         Good                          
nsf_rural_4_30requests        0.40777777777777774      6         0.35666666666666663      6         Good                          
nsf_uniform_0_10requests      0.3776666666666667       4         0.21                     3         Good                          
nsf_uniform_0_20requests      0.3723333333333334       5         0.2935                   6         Good                          
nsf_uniform_0_30requests      0.3917777777777779       7         0.3453333333333333       4         Good                          
nsf_uniform_1_10requests      0.44400000000000006      3         0.315                    5         Good                          
nsf_uniform_1_20requests      0.3436666666666667       6         0.31999999999999995      4         Good                          
nsf_uniform_1_30requests      0.5489999999999999       9         0.4103333333333333       5         Good                          
nsf_uniform_2_10requests      0.3783333333333333       5         0.274                    6         Good                          
nsf_uniform_2_20requests      0.3431666666666666       4         0.362                    6         Bad                           
nsf_uniform_2_30requests      0.32333333333333336      5         0.33066666666666666      5         Bad                           
nsf_uniform_3_10requests      0.41666666666666663      3         0.267                    5         Good                          
nsf_uniform_3_20requests      0.32283333333333336      5         0.30300000000000005      6         Good                          
nsf_uniform_3_30requests      0.37733333333333335      7         0.38499999999999995      5         Bad                           
nsf_uniform_4_10requests      0.32799999999999996      4         0.12499999999999999      3         Good                          
nsf_uniform_4_20requests      0.4216666666666667       8         0.3125                   5         Good                          
nsf_uniform_4_30requests      0.4335555555555556       9         0.33666666666666667      4         Good                          
nsf_urban_0_10requests        0.2923333333333334       2         0.249                    4         Good                          
nsf_urban_0_20requests        0.408                    4         0.382                    6         Good                          
nsf_urban_0_30requests        0.31100000000000005      5         0.32266666666666666      5         Bad                           
nsf_urban_1_10requests        0.371                    4         0.15800000000000003      3         Good                          
nsf_urban_1_20requests        0.3481666666666666       5         0.2775                   5         Good                          
nsf_urban_1_30requests        0.3655555555555555       5         0.2723333333333333       6         Good                          
nsf_urban_2_10requests        0.33566666666666667      3         0.21200000000000002      4         Good                          
nsf_urban_2_20requests        0.3933333333333333       5         0.33949999999999997      6         Good                          
nsf_urban_2_30requests        0.34777777777777785      4         0.35933333333333334      5         Bad                           
nsf_urban_3_10requests        0.34133333333333327      3         0.29500000000000004      6         Good                          
nsf_urban_3_20requests        0.3353333333333333       5         0.21150000000000002      4         Good                          
nsf_urban_3_30requests        0.5022222222222222       9         0.39499999999999996      5         Good                          
nsf_urban_4_10requests        0.3906666666666666       3         0.278                    4         Good                          
nsf_urban_4_20requests        0.38383333333333336      4         0.3235                   5         Good                          
nsf_urban_4_30requests        0.40955555555555556      8         0.36599999999999994      5         Good                          
