Instance                      NSGA-II                  SL        GA                       SL        
nsf_centers_4_20requests      11.0                     4         11.0                     5         Bad                           
nsf_centers_4_30requests      14.0                     5         16.0                     5         Bad                           
nsf_rural_0_10requests        4.0                      3         6.0                      4         Bad                           
nsf_rural_0_20requests        11.0                     5         11.0                     6         Bad                           
nsf_rural_0_30requests        16.0                     5         19.0                     6         Bad                           
nsf_rural_1_10requests        6.0                      4         8.0                      4         Bad                           
nsf_rural_1_20requests        12.0                     3         16.0                     6         Bad                           
nsf_rural_1_30requests        17.0                     5         23.0                     5         Bad                           
nsf_rural_2_10requests        4.0                      3         6.0                      6         Bad                           
nsf_rural_2_20requests        11.0                     3         12.0                     6         Bad                           
nsf_rural_2_30requests        23.0                     8         25.0                     6         Bad                           
nsf_rural_3_10requests        5.0                      4         7.0                      4         Bad                           
nsf_rural_3_20requests        10.0                     4         16.0                     7         Bad                           
nsf_rural_3_30requests        18.0                     5         25.0                     5         Bad                           
nsf_rural_4_10requests        5.0                      4         6.0                      4         Bad                           
nsf_rural_4_20requests        11.0                     5         15.0                     6         Bad                           
nsf_rural_4_30requests        17.0                     8         23.0                     6         Bad                           
nsf_uniform_0_10requests      6.0                      3         6.0                      4         Bad                           
nsf_uniform_0_20requests      12.0                     6         13.0                     5         Bad                           
nsf_uniform_0_30requests      21.0                     9         23.0                     4         Bad                           
nsf_uniform_1_10requests      6.0                      5         8.0                      4         Bad                           
nsf_uniform_1_20requests      11.0                     6         14.0                     6         Bad                           
nsf_uniform_1_30requests      22.0                     9         27.0                     5         Bad                           
nsf_uniform_2_10requests      5.0                      3         6.0                      5         Bad                           
nsf_uniform_2_20requests      12.0                     4         14.0                     5         Bad                           
nsf_uniform_2_30requests      17.0                     7         21.0                     6         Bad                           
nsf_uniform_3_10requests      5.0                      3         7.0                      4         Bad                           
nsf_uniform_3_20requests      13.0                     5         13.0                     6         Bad                           
nsf_uniform_3_30requests      21.0                     6         23.0                     5         Bad                           
nsf_uniform_4_10requests      5.0                      4         6.0                      3         Bad                           
nsf_uniform_4_20requests      11.0                     7         15.0                     7         Bad                           
nsf_uniform_4_30requests      19.0                     10        25.0                     4         Bad                           
nsf_urban_0_10requests        5.0                      3         5.0                      4         Bad                           
