Instance                      NSGA-II                  SL        GA                       SL        
nsf_uniform_3_30requests      0.30433333333333334      4         0.3573333333333332       6         Bad                           
nsf_uniform_4_10requests      0.28099999999999997      4         0.164                    4         Good                          
nsf_uniform_4_20requests      0.322                    6         0.28400000000000003      6         Good                          
nsf_uniform_4_30requests      0.3433333333333334       8         0.30900000000000005      4         Good                          
nsf_urban_0_10requests        0.30466666666666664      3         0.257                    5         Good                          
nsf_urban_0_20requests        0.39949999999999997      6         0.387                    6         Good                          
nsf_urban_0_30requests        0.31733333333333325      7         0.3                      6         Good                          
nsf_urban_1_10requests        0.32033333333333336      4         0.15800000000000003      3         Good                          
nsf_urban_1_20requests        0.31833333333333325      4         0.25500000000000006      6         Good                          
nsf_urban_1_30requests        0.3114444444444444       5         0.3293333333333333       5         Bad                           
nsf_urban_2_10requests        0.33099999999999996      4         0.21700000000000003      4         Good                          
nsf_urban_2_20requests        0.3398333333333333       4         0.311                    6         Good                          
nsf_urban_2_30requests        0.34977777777777774      9         0.34800000000000003      5         Good                          
nsf_urban_3_10requests        0.31                     3         0.266                    5         Good                          
nsf_urban_3_20requests        0.2936666666666667       6         0.23349999999999999      5         Good                          
nsf_urban_3_30requests        0.4455555555555556       7         0.3483333333333334       5         Good                          
nsf_urban_4_10requests        0.33466666666666667      4         0.322                    5         Good                          
nsf_urban_4_20requests        0.357                    7         0.2415                   4         Good                          
nsf_urban_4_30requests        0.35244444444444445      6         0.36933333333333335      5         Bad                           
